Order Date	Order ID.1	Order ID.2	Customer Name.1	Customer Name.2	Segment	Country	City	Location	Product ID.1	Product ID.2	Product ID.3	Category	Product Name	Sales	Quantity	CompanyName	Expiry Date
01/01/2022	XQ	878018	Luca	Vaughan	Consumer	United Kingdom	Liverpool	Hub	TEC	PH	10003601	Diploma	HR Diploma	1600	1	null	null
01/01/2022	SK	323430	Louie	Taylor	Corporate	United Kingdom	Warrington	Site	OFF	BI	10004632	Courses	Graphic Design	45500	26	Wells & Wade	null
01/01/2022	PG	269127	Sinit	Selam	Home Office	Kenya	Nairobi	Site	OFF	BI	10000050	Award	Microsoft Office Award	43500	29	null	null
01/01/2022	PR	190388	Fakhry	Daher	Consumer	Pakistan	Lahore	Site	TEC	PH	10002170	Diploma	Social Media Diploma	1899.99	1	null	null
01/01/2022	YF	289788	Hazim	Abadi	Consumer	Pakistan	Lahore	Site	OFF	LA	10002195	Award	Microsoft Office Award	1500	1	null	null
01/01/2022	IG	560213	Abdul-Qahhar	Hadad	Consumer	Pakistan	Lahore	Site	FUR	TA	10004767	Courses	Python	350	1	null	null
01/01/2022	CX	729634	Reece	Fitzgerald	Corporate	United Kingdom	Warrington	Site	OFF	BI	10002353	Courses	Graphic Design	5250	3	Walt's IGA	null
01/02/2020	IA	930934	Abdul-Sami	Bahar	Home Office	Kuwait	Kuwait City	Site	YOM	RQ	31378625	Courses	Graphic Design	22750	13	null	null
01/02/2020	UZ	818401	Nazim	Moghadam	Corporate	Pakistan	Lahore	Site	OFF	BI	10002982	Courses	Graphic Design	24500	14	MacMarr Stores	null
01/02/2020	AA	250896	Labib	Arian	Corporate	Pakistan	Lahore	Site	OFF	BI	10004209	Courses	Executive Assistant Diploma	119970	30	Paul's Record Hut	null
01/02/2020	IG	804386	Charlotte	Jarvis	Consumer	United Kingdom	Warrington	Site	OFF	LA	10001317	Courses	Graphic Design	1750	1	null	null
01/02/2020	QZ	410121	Ghenet	Iggi	Consumer	Kenya	Nairobi	Site	FUR	CH	10002880	Courses	Cloud Architecture	480	1	null	null
01/02/2020	TK	116670	Hussein	Maalouf	Consumer	Pakistan	Lahore	Site	GXS	NW	97754315	Diploma	Executive PA Diploma	4500	1	null	null
01/02/2020	AW	136257	Abbie	Hope	Consumer	United Kingdom	Warrington	Site	OFF	AR	10001149	Courses	Graphic Design	1750	1	null	null
01/02/2020	DY	924797	Abdul-Wakil	Gaber	Consumer	Pakistan	Lahore	Site	TEC	PH	10004833	Diploma	Social Media Diploma	1899.99	1	null	null
01/02/2020	OK	378965	'Azzah	Samaha	Consumer	Kuwait	Kuwait City	Site	OFF	ST	10001328	Award	Microsoft Office Award	1500	1	null	null
01/02/2020	PD	511649	Intisaar	Essa	Home Office	Pakistan	Lahore	Site	OFF	AR	10001130	Courses	Graphic Design	26250	15	null	null
01/02/2020	XL	509564	Firas	Tahan	Corporate	Pakistan	Lahore	Site	OFF	ST	10001505	Courses	Graphic Design	31500	18	Children's Palace	null
01/02/2020	RT	495563	Alex	Allen	Corporate	United Kingdom	Warrington	Site	OFF	PA	10002787	Award	Microsoft Office Award	24000	16	Hollywood Video	null
01/02/2021	CP	460120	Shukri	Dagher	Consumer	Kuwait	Kuwait City	Site	OFF	BI	10001078	Diploma	Social Media Diploma	1899.99	1	null	null
01/02/2021	XU	369719	Lamya'	Sabbagh	Consumer	Pakistan	Lahore	Site	ENB	CX	82519030	Courses	Graphic Design	1750	1	null	null
01/02/2021	NV	50237	Sara	Iggi	Home Office	Kenya	Nairobi	Site	OFF	PA	10001639	Courses	Graphic Design	52500	30	null	null
01/02/2021	CH	783616	Juhanah	Guirguis	Consumer	Pakistan	Lahore	Site	VXH	DI	13613601	Courses	ECDL	625	1	null	null
01/02/2021	CM	832869	Nabhan	Daher	Consumer	Kuwait	Kuwait City	Site	OFF	PA	10004041	Award	Microsoft Office Award	1500	1	null	null
01/02/2021	UJ	740717	Massawa	Isaias	Home Office	Kenya	Nairobi	Site	TEC	AC	10003709	Diploma	IT Support Diploma	2200	1	null	null
01/02/2021	VS	762374	Makkiyah	Shadid	Corporate	Pakistan	Lahore	Site	OFF	BI	10004022	Award	Microsoft Office Award	25500	17	Creative Wealth	null
01/02/2021	XM	500711	Efrem	Aziz	Consumer	Kenya	Nairobi	Site	OFF	BI	10001597	Award	Microsoft Office Award	1500	1	null	null
01/02/2021	DC	919797	Umaymah	Abboud	Home Office	Pakistan	Lahore	Site	OFF	AR	10001446	Courses	Graphic Design	49000	28	null	null
01/02/2021	VJ	632635	Ayser	Gerges	Consumer	Pakistan	Lahore	Site	OFF	AR	10003183	Diploma	Graphic Design Diploma	1800	1	null	null
01/02/2021	KO	206892	'Ubaab	Dagher	Home Office	Pakistan	Lahore	Site	OFF	AR	10003582	Award	Microsoft Office Award	13500	9	null	null
01/02/2021	ZJ	352476	Firdaws	Maalouf	Home Office	Pakistan	Lahore	Site	TEC	PH	10004774	Diploma	Freelancer Diploma	40000	16	null	null
01/02/2021	DG	29430	Hadeel	Shadid	Corporate	Pakistan	Lahore	Site	OFF	SU	10001225	Award	Social Media Award	16800	14	Coon Chicken Inn	null
01/02/2021	GS	583761	Amir	Shammas	Corporate	Pakistan	Lahore	Site	GQB	VZ	17777376	Courses	Graphic Design	38500	22	id Boutiques	null
01/02/2021	TM	411618	Harry	Turnbull	Corporate	United Kingdom	Liverpool	Hub	OFF	ST	10002790	Diploma	Microsoft Office Diploma	35000	14	Muscle Factory	null
01/02/2021	OZ	915015	Asma'	Mifsud	Corporate	Pakistan	Lahore	Site	OFF	PA	10001815	Diploma	Graphic Design Diploma	27000	15	Gold Touch	null
01/02/2022	ZS	574621	Qutaiba	Antoun	Home Office	Kuwait	Kuwait City	Site	OFF	PA	10001497	Courses	Executive Assistant Diploma	79980	20	null	null
01/02/2022	QJ	597808	Mewael	Habte	Home Office	Kenya	Nairobi	Site	OFF	BI	10004970	Courses	Graphic Design	19250	11	null	null
01/02/2022	YO	245874	Taj	Shamon	Corporate	Pakistan	Lahore	Site	OFF	SU	10001218	Award	Microsoft Office Award	21000	14	FlowerTime	null
01/02/2022	IF	418520	Waseem	Abadi	Home Office	Pakistan	Lahore	Site	OFF	AR	10001761	Diploma	Graphic Design Diploma	18000	10	null	null
01/02/2022	SI	701093	Zahra	Isaias	Corporate	Kenya	Nairobi	Site	TEC	PH	10001552	Diploma	Microsoft Office Diploma	12500	5	Profitpros	null
01/02/2022	XT	211782	'Amro	Sabbag	Consumer	Pakistan	Lahore	Site	PPR	TC	86732936	Courses	Graphic Design	1750	1	null	null
01/02/2022	DH	766454	Anbar	Safar	Corporate	Pakistan	Lahore	Site	FUR	TA	10001676	Courses	CompTIA	13777	23	DGS HomeSource	null
01/02/2022	VS	640714	Huriyyah	Abrha	Corporate	Kenya	Nairobi	Site	SUZ	EH	97211545	Diploma	Executive PA Diploma	40500	9	Pacific Stereo	null
01/02/2022	NW	319631	Bailey	Ryan	Corporate	United Kingdom	Warrington	Site	OFF	AR	10003183	Award	Microsoft Office Award	22500	15	National Auto Parts	null
01/02/2022	HY	785500	Mus'ad	Koury	Corporate	Pakistan	Lahore	Site	GYU	CW	97100908	Diploma	IT Support Diploma	4400	2	Benesome	null
01/02/2022	OK	917242	Almaz	Habte	Home Office	Kenya	Nairobi	Site	TEC	PH	10004586	Diploma	Freelancer Diploma	7500	3	null	null
01/02/2022	SM	590989	Sumrah	Gaber	Consumer	Pakistan	Lahore	Site	OFF	ST	10003572	Award	Microsoft Office Award	1500	1	null	null
01/02/2022	SI	639691	Tarif	Deeb	Corporate	Pakistan	Lahore	Site	FUI	HA	99699863	Courses	Graphic Design	45500	26	Wheels Discount Auto	null
01/02/2022	GR	176443	Jordan	Johnston	Consumer	United Kingdom	Liverpool	Hub	OFF	ST	10001097	Courses	Graphic Design	1750	1	null	null
01/03/2020	BI	313336	Hibah	Mansour	Home Office	Pakistan	Lahore	Site	OFF	PA	10003228	Diploma	Microsoft Office Diploma	60000	24	null	null
01/03/2020	EJ	449958	Sadad	Bata	Consumer	Pakistan	Lahore	Site	OFF	FA	10002815	Courses	Graphic Design	1750	1	null	null
01/03/2020	CT	217469	Al	Bara' Daher	Corporate	Pakistan	Lahore	Site	WGV	ZE	38061601	Diploma	IT Support Diploma	13200	6	Beasts of Beauty	null
01/03/2020	RM	280274	Wegahta	Tesfalem	Home Office	Kenya	Nairobi	Site	FUR	TA	10004534	Courses	Python	10500	30	null	null
01/03/2020	TT	305883	Afrah	Touma	Consumer	Pakistan	Lahore	Site	OFF	ST	10002485	Award	Microsoft Office Award	1500	1	null	null
01/03/2020	UT	531631	Thomas	Blackburn	Corporate	United Kingdom	Warrington	Site	OFF	AP	10001626	Award	Microsoft Office Award	16500	11	Integra Wealth	null
01/03/2020	JX	443439	Jad	Allah Mifsud	Home Office	Pakistan	Lahore	Site	XOS	CO	38858926	Diploma	IT Support Diploma	2200	1	null	null
01/03/2020	ST	818755	'Afra'	Qureshi	Corporate	Kuwait	Kuwait City	Site	FUR	FU	10002963	Courses	Social Media	10400	26	Yardbirds Home Center	null
01/03/2020	FR	596231	Anwaar	Fakhoury	Consumer	Pakistan	Lahore	Site	LID	IG	33923981	Diploma	Executive PA Diploma	4500	1	null	null
01/03/2020	VS	765015	Mu'awiyah	Asker	Corporate	Pakistan	Lahore	Site	OFF	ST	10004634	Courses	Graphic Design	31500	18	Mr. Steak	null
01/03/2020	BD	283223	Jun	Daher	Home Office	Pakistan	Lahore	Site	OFF	ST	10004950	Award	Social Media Award	18000	15	null	null
01/03/2020	CW	192874	Hollie	Atkins	Home Office	United Kingdom	Warrington	Site	TEC	AC	10004510	Diploma	HR Diploma	38400	24	null	null
01/03/2020	HY	179438	Hamzah	Mikhail	Consumer	Pakistan	Lahore	Site	PAT	DB	19862530	Courses	Graphic Design	1750	1	null	null
01/03/2020	JL	798760	Essam	Haddad	Consumer	Pakistan	Lahore	Site	OFF	PA	10004675	Courses	Graphic Design	1750	1	null	null
01/03/2020	UM	24038	Fahimah	Nazari	Corporate	Pakistan	Lahore	Site	OFF	AR	10003373	Diploma	Graphic Design Diploma	14400	8	Steve's Ice Cream	null
01/03/2020	WF	606177	Tyler	Fry	Consumer	United Kingdom	Warrington	Site	OFF	PA	10001033	Award	Microsoft Office Award	1500	1	null	null
01/03/2020	GE	68608	Abir	Kanaan	Corporate	Pakistan	Lahore	Site	QRU	TX	6144894	Award	HR Award	41972	28	Grey Fade	null
01/03/2020	AT	987884	Wafeeqa	Touma	Consumer	Pakistan	Lahore	Site	JJM	SP	16490933	Award	HR Award	1499	1	null	null
01/03/2021	MA	798210	Abdul-Muhsi	Kalb	Home Office	Pakistan	Lahore	Site	WQD	OM	65006042	Courses	ECDL	1250	2	null	null
01/03/2021	MY	404469	Ermias	Yonas	Corporate	Kenya	Nairobi	Site	OFF	ST	10001511	Courses	Graphic Design	33250	19	Adaptaz	null
01/03/2021	GV	788384	In'am	Antar	Consumer	Pakistan	Lahore	Site	FUR	FU	10001487	Courses	Microsoft Excel	399	1	null	null
01/03/2021	TA	69290	Sabeeh	Abadi	Home Office	Pakistan	Lahore	Site	FUR	FU	10002813	Courses	Microsoft Powerpoint	3887	13	null	null
01/03/2021	XW	821781	Louie	Fleming	Home Office	United Kingdom	Warrington	Site	OFF	SU	10002522	Award	Microsoft Office Award	15000	10	null	null
01/03/2021	PV	349628	Cerys	Jennings	Consumer	United Kingdom	Warrington	Site	OFF	PA	10003134	Award	Microsoft Office Award	1500	1	null	null
01/03/2021	JO	458118	Medhanie	Ambessa	Home Office	Kenya	Nairobi	Site	YNO	SS	21254676	Courses	Graphic Design	26250	15	null	null
01/03/2021	ZE	128701	Zuhair	Samaha	Consumer	Kuwait	Kuwait City	Site	TEC	PH	10000895	Diploma	Social Media Diploma	1899.99	1	null	null
01/03/2021	CC	747641	Abdul-Mu'id	Shamoun	Consumer	Pakistan	Lahore	Site	TEC	PH	10000011	Diploma	Social Media Diploma	1899.99	1	null	null
01/03/2021	AS	384622	Mukarram	Bitar	Home Office	Pakistan	Lahore	Site	OFF	PA	10000533	Courses	Graphic Design	49000	28	null	null
01/03/2021	EY	846323	Fakhiri	Bitar	Consumer	Pakistan	Lahore	Site	OFF	FA	10001332	Diploma	Microsoft Office Diploma	2500	1	null	null
01/03/2021	TA	764965	Charles	Palmer	Home Office	United Kingdom	Liverpool	Hub	TQS	XI	85571728	Courses	CompTIA	1198	2	null	null
01/03/2021	OG	435245	Eleleta	Neftalem	Consumer	Kenya	Nairobi	Site	OFF	ST	10004835	Courses	Graphic Design	1750	1	null	null
01/03/2021	EO	20493	Wadhaa	Botros	Home Office	Pakistan	Lahore	Site	KKD	PO	93100399	Courses	ECDL	12500	20	null	null
01/03/2021	OD	329546	Abdul-Mu'min	Sarraf	Corporate	Pakistan	Lahore	Site	FUR	CH	10004495	Courses	Social Media	4400	11	L' Fish	null
01/03/2021	AC	641351	Abdul-Rafi	Shamon	Corporate	Pakistan	Lahore	Site	OFF	AP	10002403	Award	Microsoft Office Award	30000	20	Argus Tapes & Records	null
01/03/2021	KF	68412	Neftalem	Russom	Consumer	Kenya	Nairobi	Site	PXH	RF	55482761	Award	HR Award	1499	1	null	null
01/03/2022	LJ	960323	Amtullah	Daher	Consumer	Pakistan	Lahore	Site	OFF	FA	10000585	Courses	Executive Assistant Diploma	3999	1	null	null
01/03/2022	CN	963571	Fre-Swera	Ermias	Home Office	Kenya	Nairobi	Site	OFF	ST	10003058	Diploma	Social Media Diploma	3799.98	2	null	null
01/03/2022	QW	72062	Yonatan	Semere	Home Office	Kenya	Nairobi	Site	OFF	PA	10004082	Courses	Graphic Design	52500	30	null	null
01/03/2022	LB	257165	Hayud	Bazzi	Corporate	Pakistan	Lahore	Site	KUU	AT	83849985	Courses	Graphic Design	24500	14	Wealthy Ideas	null
01/03/2022	HR	187725	Rhys	Bryan	Home Office	United Kingdom	Warrington	Site	TEC	AC	10001908	Diploma	Executive PA Diploma	31500	7	null	null
01/03/2022	WC	572512	Mason	Norman	Consumer	United Kingdom	Warrington	Site	EIT	GP	57829130	Courses	Graphic Design	1750	1	null	null
01/03/2022	IT	637998	Sumayra	Amari	Corporate	Pakistan	Lahore	Site	OFF	BI	10002082	Courses	Graphic Design	7000	4	Quality Event Planner	null
01/03/2022	XZ	180793	Nazih	Sarkis	Corporate	Pakistan	Lahore	Site	INP	RG	87436966	Diploma	IT Support Diploma	17600	8	Nelson Brothers	null
01/03/2022	QF	403726	Seif	al Din Kouri	Consumer	Pakistan	Lahore	Site	TEC	MA	10002428	Diploma	Graphic Design Diploma	1800	1	null	null
01/03/2022	FI	433839	Akilah	Essa	Home Office	Pakistan	Lahore	Site	TEC	PH	10003505	Diploma	Executive PA Diploma	72000	16	null	null
01/03/2022	UK	949885	Karim	Said	Consumer	Pakistan	Lahore	Site	TEC	AC	10001767	Diploma	Graphic Design Diploma	1800	1	null	null
01/03/2022	NA	986129	Ghadah	Srour	Consumer	Kuwait	Kuwait City	Site	HBP	OY	93301413	Courses	Graphic Design	1750	1	null	null
01/03/2022	EI	213288	Zuhayr	Botros	Corporate	Pakistan	Lahore	Site	FUR	FU	10003975	Courses	Python	9450	27	The Goose and Duck	null
01/03/2022	ZL	815456	Katie	Chan	Corporate	United Kingdom	Liverpool	Hub	FUR	FU	10001934	Courses	Cloud Architecture	11040	23	Dave Cooks	null
01/03/2022	HT	397302	Khawlah	Ghanem	Consumer	Pakistan	Lahore	Site	OFF	AR	10004691	Courses	Graphic Design	1750	1	null	null
01/03/2022	IE	68620	Jarir	Asfour	Home Office	Pakistan	Lahore	Site	FUR	FU	10000576	Courses	Medical Terminology	4950	11	null	null
01/04/2020	TU	16503	Nuwwar	Masih	Home Office	Pakistan	Lahore	Site	FUR	CH	10004698	Courses	Social Media	7200	18	null	null
01/04/2020	QL	107272	Aidan	Phillips	Home Office	United Kingdom	Warrington	Site	FUR	TA	10001932	Courses	Python	8050	23	null	null
01/04/2020	LL	4250	Qadriyah	Halabi	Consumer	Pakistan	Lahore	Site	FUR	FU	10001085	Courses	Social Media	400	1	null	null
01/04/2020	KR	877514	Mollie	Franklin	Corporate	United Kingdom	Liverpool	Hub	OFF	FA	10002763	Courses	Graphic Design	40250	23	Builders Square	null
01/04/2020	ST	679804	Isobel	Quinn	Home Office	United Kingdom	Warrington	Site	EWI	BO	24002497	Courses	Graphic Design	40250	23	null	null
01/04/2020	ZM	650628	Lubna	Qureshi	Consumer	Pakistan	Lahore	Site	MZG	BC	14307115	Courses	Microsoft Excel	399	1	null	null
01/04/2020	YO	459265	Dehab	Demsas	Home Office	Kenya	Nairobi	Site	OFF	BI	10004236	Courses	Graphic Design	21000	12	null	null
01/04/2020	FY	990585	Abdul-Ra'uf	Handal	Home Office	Pakistan	Lahore	Site	TEC	PH	10001557	Diploma	IT Support Diploma	6600	3	null	null
01/04/2020	IY	32938	Thamir	Ghanem	Corporate	Pakistan	Lahore	Site	JUH	YW	41943900	Courses	Graphic Design	5250	3	Price Club	null
01/04/2020	CJ	974379	Firyal	Antar	Corporate	Pakistan	Lahore	Site	ZAP	OC	36697977	Award	HR Award	4497	3	Sistemos	null
01/04/2021	CX	64844	Mufeeda	Tuma	Consumer	Pakistan	Lahore	Site	TEC	PH	10003885	Diploma	Freelancer Diploma	2500	1	null	null
01/04/2021	GI	588620	Eisa	Baba	Home Office	Pakistan	Lahore	Site	OFF	AR	10003504	Diploma	HR Diploma	41600	26	null	null
01/04/2021	EI	589287	Aida	Neftalem	Corporate	Kenya	Nairobi	Site	NLF	HI	47999965	Courses	Graphic Design	35000	20	Kleinhans	null
01/04/2021	GN	402929	Eisa	Mifsud	Consumer	Pakistan	Lahore	Site	FUR	FU	10003773	Courses	Microsoft Powerpoint	299	1	null	null
01/04/2021	US	857422	Natsnet	Girma	Home Office	Kenya	Nairobi	Site	FLO	WQ	61650087	Courses	Graphic Design	42000	24	null	null
01/04/2021	TY	541149	'Aqil	Bahar	Consumer	Pakistan	Lahore	Site	FUR	CH	10004287	Courses	Python	350	1	null	null
01/04/2021	XH	720223	Sumaiyah	Hanania	Home Office	Pakistan	Lahore	Site	TEC	AC	10000710	Diploma	HR Diploma	48000	30	null	null
01/04/2021	YF	390528	Nasrin	Abboud	Corporate	Pakistan	Lahore	Site	CIF	MA	67400883	Diploma	Executive PA Diploma	63000	14	PriceRite Warehouse Club	null
01/04/2021	UK	989581	Shannon	Lord	Consumer	United Kingdom	Warrington	Site	NGZ	UH	90161744	Award	HR Award	1499	1	null	null
01/04/2021	EN	940145	Wadid	Ghannam	Consumer	Pakistan	Lahore	Site	OFF	ST	10000142	Award	Microsoft Office Award	1500	1	null	null
01/04/2021	BY	549742	Sahib	Naser	Corporate	Kuwait	Kuwait City	Site	FUR	CH	10002647	Courses	Social Media	4800	12	"Warehouse Club, Inc."	null
01/04/2021	JE	452526	Hutun	Wasem	Home Office	Pakistan	Lahore	Site	OFF	PA	10000520	Diploma	HR Diploma	35200	22	null	null
01/04/2021	EH	751387	Falah	Attia	Consumer	Pakistan	Lahore	Site	OFF	AR	10003504	Award	Microsoft Office Award	1500	1	null	null
01/04/2021	QI	273308	Naomi	Webb	Consumer	United Kingdom	Warrington	Site	OFF	AP	10001626	Award	Microsoft Office Award	1500	1	null	null
01/04/2021	GB	170880	Wahibah	Fakhoury	Consumer	Pakistan	Lahore	Site	XAA	YI	73342909	Courses	Graphic Design	1750	1	null	null
01/04/2021	LE	414569	Banan	Shalhoub	Consumer	Pakistan	Lahore	Site	TEC	PH	10004389	Diploma	HR Diploma	1600	1	null	null
01/04/2021	KS	787601	Saleh	Hadad	Corporate	Kuwait	Kuwait City	Site	DBW	DB	61530626	Courses	Graphic Design	42000	24	Lawnscape Garden Maintenance	null
01/05/2020	LD	281492	Sura	Nader	Home Office	Pakistan	Lahore	Site	JTT	LE	45177104	Diploma	IT Support Diploma	22000	10	null	null
01/05/2020	AG	227855	Furuta	Sebhat	Home Office	Kenya	Nairobi	Site	OFF	PA	10001667	Courses	Graphic Design	14000	8	null	null
01/05/2020	NR	185159	Sarah	Blake	Consumer	United Kingdom	Warrington	Site	FUR	BO	10002613	Courses	Social Media	400	1	null	null
01/05/2020	HK	484634	Aida	Yonatan	Consumer	Kenya	Nairobi	Site	OFF	ST	10001325	Courses	Graphic Design	1750	1	null	null
01/05/2020	XC	168052	Basil	Touma	Corporate	Pakistan	Lahore	Site	OFF	PA	10002259	Courses	Graphic Design	12250	7	Rolling Thunder	null
01/05/2020	KU	875735	Salman	Mifsud	Consumer	Kuwait	Kuwait City	Site	EMX	JC	49008589	Diploma	Executive PA Diploma	4500	1	null	null
01/05/2020	UP	968860	Fre-Swera	Yohannes	Home Office	Kenya	Nairobi	Site	FUR	FU	10003623	Courses	Python	7700	22	null	null
01/05/2020	PB	464260	Joe	Harris	Consumer	United Kingdom	Warrington	Site	FUR	CH	10004540	Courses	Python	350	1	null	null
01/05/2020	HH	682625	Luwam	Abdullah	Consumer	Kenya	Nairobi	Site	TOF	YC	9273692	Courses	ECDL	625	1	null	null
01/05/2020	HU	775082	Freya	O'Donnell	Consumer	United Kingdom	Liverpool	Hub	OFF	ST	10003208	Courses	Graphic Design	1750	1	null	null
01/05/2020	KS	821735	Thomas	Daniels	Corporate	United Kingdom	Liverpool	Hub	OFF	BI	10002003	Courses	Graphic Design	47250	27	Mission You	null
01/05/2020	UH	257383	Mariyah	Boutros	Consumer	Pakistan	Lahore	Site	FUR	CH	10001854	Courses	CompTIA	599	1	null	null
01/05/2020	IR	957074	Sa'dah	Tahan	Corporate	Pakistan	Lahore	Site	OFF	BI	10002133	Courses	Executive Assistant Diploma	15996	4	National Auto Parts	null
01/05/2020	US	36620	Madihah	Afwerki	Corporate	Kenya	Nairobi	Site	OFF	ST	10003123	Diploma	HR Diploma	35200	22	Home Centers	null
01/05/2020	TO	336783	Ruqaya	Quraishi	Consumer	Pakistan	Lahore	Site	TEC	AC	10001142	Diploma	IT Support Diploma	2200	1	null	null
01/05/2020	NX	876283	Yusef	Aatifa	Home Office	Kenya	Nairobi	Site	PBZ	XH	31098857	Courses	Graphic Design	33250	19	null	null
01/05/2020	GK	220702	Qutaibah	Naser	Consumer	Pakistan	Lahore	Site	GFC	SN	38993355	Award	HR Award	1499	1	null	null
01/05/2020	UJ	79756	Muhammed	Ermias	Consumer	Kenya	Nairobi	Site	SCT	VI	93908537	Courses	Graphic Design	1750	1	null	null
